"X.SampleID"	"subject"	"timepoint"	"shannon_alpha"	"sample_site"	"sex"	"ID_unique"	"shannon_avg"
"10370.7G1"	"Volunteer 6"	"2"	5.73605102189	"Face"	"male"	"Volunteer 6Face"	5.8373344038825
"10370.10A3"	"Volunteer 6"	"3"	4.19999073575	"Face"	"male"	"Volunteer 6Face"	4.2156509841475
"10370.12A3"	"Volunteer 6"	"4"	5.44811575273	"Face"	"male"	"Volunteer 6Face"	5.45086166087667
"10370.13D1"	"Volunteer 6"	"5"	3.94413746521	"Face"	"male"	"Volunteer 6Face"	4.44812672219
"10370.17A3"	"Volunteer 6"	"6"	3.52872430888	"Face"	"male"	"Volunteer 6Face"	4.4506908549875
"10370.20A3"	"Volunteer 6"	"7"	4.04474635844	"Face"	"male"	"Volunteer 6Face"	4.375439625885
"10370.22B8"	"Volunteer 6"	"8"	3.75053019064	"Face"	"male"	"Volunteer 6Face"	3.956823528345
"10370.22E6"	"Volunteer 6"	"9"	4.86365070377	"Face"	"male"	"Volunteer 6Face"	5.06916837022
"10370.2B10"	"Volunteer 7"	"0"	2.84520985115	"Face"	"male"	"Volunteer 7Face"	2.558098001785
"10370.5B10"	"Volunteer 7"	"1"	2.80280016226	"Face"	"male"	"Volunteer 7Face"	2.752098197455
"10370.7A5"	"Volunteer 7"	"2"	2.8634633904	"Face"	"male"	"Volunteer 7Face"	2.6971612035125
"10370.9B10"	"Volunteer 7"	"3"	2.78254570982	"Face"	"male"	"Volunteer 7Face"	2.4780592467675
"10370.12B10"	"Volunteer 7"	"4"	3.3708930679	"Face"	"male"	"Volunteer 7Face"	2.89638712770667
"10370.13B10"	"Volunteer 7"	"5"	2.81834321294	"Face"	"male"	"Volunteer 7Face"	2.58839452098667
"10370.15E6"	"Volunteer 7"	"6"	3.19564791826	"Face"	"male"	"Volunteer 7Face"	2.70256938196
"10370.18A4"	"Volunteer 7"	"7"	2.61931080689	"Face"	"male"	"Volunteer 7Face"	2.79851672525
"10370.20B9"	"Volunteer 7"	"8"	2.62189348191	"Face"	"male"	"Volunteer 7Face"	3.33769987396667
"10370.24B8"	"Volunteer 7"	"9"	1.95901998241	"Face"	"male"	"Volunteer 7Face"	2.263679375775
"10370.2B2"	"Volunteer 6"	"0"	5.95420655692	"Arm"	"male"	"Volunteer 6Arm"	5.814172051
"10370.3G7"	"Volunteer 6"	"1"	5.03817987088	"Arm"	"male"	"Volunteer 6Arm"	5.23937940653667
"10370.7G10"	"Volunteer 6"	"2"	6.64764590197	"Arm"	"male"	"Volunteer 6Arm"	6.5134442224625
"10370.10A12"	"Volunteer 6"	"3"	5.5872021955	"Arm"	"male"	"Volunteer 6Arm"	5.26417284829667
"10370.12A12"	"Volunteer 6"	"4"	5.49999694112	"Arm"	"male"	"Volunteer 6Arm"	6.05816154630667
"10370.13D10"	"Volunteer 6"	"5"	6.38558226285	"Arm"	"male"	"Volunteer 6Arm"	6.30291344735
"10370.17A11"	"Volunteer 6"	"6"	5.85475017393	"Arm"	"male"	"Volunteer 6Arm"	5.80641860699333
"10370.20A11"	"Volunteer 6"	"7"	5.09246699587	"Arm"	"male"	"Volunteer 6Arm"	4.81018085140333
"10370.22C4"	"Volunteer 6"	"8"	5.74399723996	"Arm"	"male"	"Volunteer 6Arm"	5.1719520336275
"10370.22F2"	"Volunteer 6"	"9"	5.31156499132	"Arm"	"male"	"Volunteer 6Arm"	5.46874918206667
"10370.2B5"	"Volunteer 6"	"0"	2.20974769638	"Foot"	"male"	"Volunteer 6Foot"	2.408651202035
"10370.3G10"	"Volunteer 6"	"1"	2.27276590413	"Foot"	"male"	"Volunteer 6Foot"	2.3826065508325
"10370.7H1"	"Volunteer 6"	"2"	2.25051934001	"Foot"	"male"	"Volunteer 6Foot"	2.7316179952725
"10370.10B3"	"Volunteer 6"	"3"	2.09294492321	"Foot"	"male"	"Volunteer 6Foot"	2.4688231901075
"10370.12B3"	"Volunteer 6"	"4"	3.72943576715	"Foot"	"male"	"Volunteer 6Foot"	3.45912366453667
